GEOGRAPHICAL_BOROUGH_NAME,NEW_BOROUGH_GROUPING,RAM,CONSOLIDATED_NAME,CONSOLIDATED_TDS_NUM,DEVELOPMENT_NAME,TDS_NUM,ADDRESS_LINE_1,BUILDING_NUM,LOCATION,LOCATION_TYPE,OWNERGROUP,SOURCESYSID,CALL_CENTER_TYPE,PARENT,WONUM,TRADE_TYPE,CRAFT_DESCRIPTION,FAILURECODE,PROBLEMCODE,WOPRIORITY,REPORTDATE,ZZCREATEDATE,SCHEDSTART,TARGSTARTDATE,ACTSTART,ACTFINISH,STATUS,STATUSDATE,DISPOSITION_DESC,DISPOSITION_SUB_DESC,WORK_DONE_DESC,ZZSUBWORKTYPE,CAUSE,REMEDY,ZZRESCODE,LAST_LABTRANS_TRANSTYPE,TOTAL_REPAIRS_DONE,REPAIRS_DONE_LIST,VANDALISM_CODE,ZZCOURTORDER,ZZRRPWORKREQUIRED,ZZRRPWORKAMOUNT,DESCRIPTION,Days to Complete Or Still Open,TDS,BUILDING,STAIRHALL,ROOM
Bronx,Bronx,BETHEA,Morrisania Air Rights,267,MORRISANIA AIR RIGHTS,267,3073 PARK AVENUE,01,267.01,BUILDING,DEV267,MAXIMO,Non-CCC,69719499,69719499,MAINTENANCE,Maintenance,COMPACTOR,RAMLIMITSWITCHOOO,3,2019-10-29,2019-10-29,,,2019-11-01,2019-11-01,CLOSE,2019-12-05,CLOSED,Completed on Arrival,Work Not Done,,,,,COMPLETEONARRIVAL,,,0,0,,,COMPACTOR - MAINT,2.853704,267,01,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,BUSHWICK,86,370 BUSHWICK AVENUE,06,086.06,BUILDING,TSDWASTE,MAXIMO,Non-CCC,67639083,67639083,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-07-05,2019-07-05,,,2019-07-06,2019-07-06,CLOSE,2019-07-08,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,0.908495,086,06,,
Brooklyn,Mixed Finance,HIPPS,Linden,95,LINDEN,95,570 STANLEY AVENUE,01,095.01,BUILDING,DEV095,MAXIMO,Non-CCC,68014822,68339876,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-08-20,2019-08-20,,,2019-09-10,2019-09-10,CLOSE,2019-09-10,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,Are compactor rooms clean and in good condition?,21.03941,095,01,,
Brooklyn,NGO1,KORBUL,Brownsville,16,BROWNSVILLE,16,363 DUMONT AVENUE,27,016.27,BUILDING,DEV016,MAXIMO,Non-CCC,67969786,68002370,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-07-31,2019-07-31,,,,,CLOSE,2019-08-06,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,Are interior compactors in good working order? WO# 67951948 was sent to TSD waste,5.989757,016,27,,
Manhattan,Manhattan,GADSON,King Towers,30,KING TOWERS,30,40 WEST 115TH STREET,02,030.02,BUILDING,TSDWASTE,MAXIMO,Non-CCC,68264197,68264197,MAINTENANCE,Maintenance,COMPACTOR,NOPOWER,3,2019-08-16,2019-08-16,,,2019-08-22,2019-08-22,CLOSE,2019-08-23,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,5.8946879999999995,030,02,,
Manhattan,Mixed Finance,DINGLE,Frederick Samuel Apartments,377,SAMUEL (CITY),377,162 WEST 144TH STREET,09,377.09,BUILDING,DEV377,MAXIMO,Non-CCC,69322788,69764726,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-10-30,2019-10-30,,,2019-10-30,2019-10-30,CLOSE,2019-11-07,CLOSED,Closed,Work Done,,VANDALISM,REMEDY,,WORK,1.0,CHUTESHUTOFFGATEPAINTED,0,0,,,Are interior compactors in good working order?,0.06897,377,09,,
Manhattan,Manhattan,ALLEN,Baruch,60,BARUCH,60,64 BARUCH DRIVE,05,060.05,BUILDING,TSDWASTE,MAXIMO,Non-CCC,70266325,70266325,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2019-11-21,2019-11-21,,,2019-11-25,2019-11-25,CLOSE,2019-11-25,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,3.763264,060,05,,
Manhattan,Manhattan,SUGGS,Fort Washington Ave Rehab,309,FORT WASHINGTON AVENUE REHAB,309,99 FORT WASHINGTON AVENUE,01,309.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,68199375,68199375,MAINTENANCE,Maintenance,COMPACTOR,RAMLIMITSWITCHOOO,3,2019-08-14,2019-08-14,,,2019-08-25,2019-08-25,CLOSE,2019-08-27,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,DOORSAFETYSWITCHREPAIRED,0,0,,,compactor RAM not pushing back and forth.,11.221852,309,01,,
Bronx,NGO1,MCMILLAN,Melrose,28,MELROSE,28,304 EAST 156TH STREET,06,028.06,BUILDING,DEV028,MAXIMO,Non-CCC,69311374,69720317,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-10-29,2019-10-29,2019-10-31,2019-10-31,2019-10-31,2019-10-31,CLOSE,2019-10-31,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,Are compactor rooms clean and in good condition? compactor of of order,1.879873,028,06,,
Brooklyn,NGO1,KORBUL,Unity Plaza,261,UNITY PLAZA (SITES 4-27),261,390 GEORGIA AVENUE,04,261.04,BUILDING,DEV261,MAXIMO,Non-CCC,73623446,73623446,SKILLED TRADES,Vendor,COMPACTOR,NEEDSPAINTING,3,2020-05-06,2020-05-06,,,2020-05-07,2020-05-08,CLOSE,2020-05-09,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CONCRETEPATCHED,0,0,N,,painted compactor room,2.0075689999999997,261,04,,
Bronx,Bronx,TOLOZANO,Pelham Parkway,39,PELHAM PARKWAY,39,2460 BRONXWOOD AVENUE,03,039.03,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72998203,72998203,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,KEYSWITCHOOO,3,2020-03-18,2020-03-18,,,2020-03-20,2020-03-20,CLOSE,2020-03-20,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,KEYSWITCHREPLACED;COMPACTORREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,1.969988,039,03,,
Brooklyn,Brooklyn,TAYLOR,Ingersoll,14,INGERSOLL,14,58 FLEET WALK,27,014.27,BUILDING,DEV014,MAXIMO,Non-CCC,71375092,71386255,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-12-01,2019-12-01,,,,,CLOSE,2019-12-16,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,Are interior compactors in good working order? 70273576,14.536574,014,27,,
Brooklyn,Brooklyn,HALL,Kingsborough,10,KINGSBOROUGH,10,219 KINGSBOROUGH 2ND WALK,05,010.05,BUILDING,DEV010,MAXIMO,Non-CCC,68015224,68031825,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2019-08-01,2019-08-01,,,,,CLOSE,2019-10-20,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,Are compactor rooms clean and in good condition?,79.886563,010,05,,
Manhattan,Manhattan,ALLEN,Wald,23,WALD,23,930 EAST 4TH WALK,08,023.08,BUILDING,DEV023,MAXIMO,Non-CCC,65464140,65464140,SKILLED TRADES,Vendor,EXTERIORCOMPACTOR,FITTINGOILLEAK,3,2019-02-06,2019-02-06,,,2019-02-11,2019-02-11,CLOSE,2019-02-11,CLOSED,Closed,Work Done,GROUNDS,FINISHWORK,REMEDY,,WORK,1.0,DOORREPAIRED,0,0,N,,welding and wheels,4.910359,023,08,,
Bronx,NGO1,MCMILLAN,Melrose,28,MELROSE,28,346 EAST 156TH STREET,02,028.02,BUILDING,DEV028,MAXIMO,Non-CCC,68010323,68053475,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-08-04,2019-08-04,,,,,CLOSE,2019-08-07,CLOSED,Resolved Through Triage,Work Not Done,,,,RESLVDTHRUTRIAGE,,,,0,0,,,Are compactor rooms clean and in good condition? compactor down,3.2833099999999997,028,02,,
Manhattan,Manhattan,ALLEN,Gompers,100,GOMPERS,100,100 PITT STREET,01,100.01,BUILDING,DEV100,MAXIMO,Non-CCC,67972436,68001036,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-07-31,2019-07-31,,,2019-08-05,2019-08-05,CLOSE,2019-08-05,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,CIRCUITBREAKERREPLACED;ELECTRICITYRESTORED,0,0,,,Are compactor rooms clean and in good condition? oil leak in 70 pitt awaitig TSDwate unit,4.932361,100,01,,
Manhattan,Mixed Finance,WALTON,Wise Towers,127,WISE TOWERS,127,133 WEST 90TH STREET,02,127.02,BUILDING,DEV127,MAXIMO,Non-CCC,68597788,69053409,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-09-17,2019-09-17,,,2019-10-14,2019-10-14,CLOSE,2019-10-14,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are compactor rooms clean and in good condition? ballost out by rear exit,26.823183,127,02,,
Bronx,Bronx,TOLOZANO,Monroe,88,MONROE,88,1785 STORY AVENUE,,088,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,68257637,68257637,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-08-16,2019-08-16,,,2019-08-21,2019-08-21,CLOSE,2019-08-23,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,Exterior Compactor#1- the oil hoses fitting have to to replace on the new container.,5.074421,088,,,
Brooklyn,Brooklyn,HALL,Sheepshead Bay,36,SHEEPSHEAD BAY,36,3663 NOSTRAND AVENUE,05,036.05,BUILDING,DEV036,MAXIMO,CCC,68070850,68071822,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-08-05,2019-08-05,,,,,CLOSE,2019-08-21,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,COMPACTOR - MAINT,15.765081,036,05,,
Brooklyn,NGO1,KORBUL,Howard,72,HOWARD,72,30 GLENMORE AVENUE,01,072.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,69258001,69258001,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-09-27,2019-09-27,,,2019-10-02,2019-10-02,CLOSE,2019-10-02,CLOSED,Closed,Work Done,H&S,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,61-THATFORD ST COMPACTOR OOO,4.721493,072,01,,
Bronx,Mixed Finance,DINGLE,Saint Mary's Park,93,MOORE,129,674 EAST 149TH STREET,01,129.01,BUILDING,DEV093,MAXIMO,Non-CCC,73562414,73850978,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-05-29,2020-05-29,,,2020-05-30,2020-05-30,CLOSE,2020-06-25,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.624525,129,01,,
Brooklyn,NGO1,KORBUL,Langston Hughes Apts,168,HUGHES APARTMENTS,168,301 SUTTER AVENUE,01,168.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73729626,73729626,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2020-05-18,2020-05-18,,,2020-05-20,2020-05-20,CLOSE,2020-05-21,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,HOSEREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,2.471377,168,01,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,BUSHWICK,86,24 HUMBOLDT STREET,02,086.02,BUILDING,DEV086,MAXIMO,Non-CCC,67968807,68001731,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-07-31,2019-07-31,,,2019-07-31,2019-07-31,CLOSE,2019-08-01,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are compactor rooms clean and in good condition?,0.011898,086,02,,
Bronx,Bronx,TOLOZANO,Monroe,88,MONROE,88,1785 STORY AVENUE,,088,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,66941722,66941722,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMSLOW,3,2019-05-24,2019-05-24,,,2019-05-29,2019-05-29,CLOSE,2019-05-30,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,"EZ-Pack#2, the ram is too slow need repairs please assist thank you in advance.",4.7653360000000005,088,,,
Bronx,Bronx,TOLOZANO,Webster,141,WEBSTER,141,420 EAST 169TH STREET,02,141.02,BUILDING,DEV141,MAXIMO,Non-CCC,69311215,69582858,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-10-18,2019-10-18,,,2019-11-18,2019-11-18,CLOSE,2019-11-18,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,HOPPERDOORREPAIRED,0,0,,,Are compactor rooms clean and in good condition? COMPACTOR ROOM FLOODED,30.853772999999997,141,02,,
Brooklyn,NGO1,KORBUL,Brownsville,16,BROWNSVILLE,16,284 SUTTER AVENUE,,016,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,68116360,68116360,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2019-08-09,2019-08-09,,,2019-08-19,2019-08-19,CLOSE,2019-08-20,CLOSED,No Work Done with Sequence,Work Not Done,,,,,NOWORKDONEWITHSEQ,,,0,0,,,EXTERIORCOMPACTOR - MAINT,10.17662,016,,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,BUSHWICK,86,811 FLUSHING AVENUE,,086,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,65841109,65841109,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMSLOW,3,2019-03-11,2019-03-11,,,2019-03-13,2019-03-13,CLOSE,2019-03-14,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,FITTINGTIGHTENED;COMPACTORREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,2.145775,086,,,
Brooklyn,NGO1,KORBUL,Unity Plaza,261,UNITY PLAZA (SITES 4-27),261,391 GEORGIA AVENUE,05,261.05,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73674965,73674965,MAINTENANCE,Maintenance,COMPACTOR,RAMSLOW,3,2020-05-12,2020-05-12,,,2020-05-16,2020-05-16,CLOSE,2020-05-18,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,HYDROLICHOSEREPLACED;HYDROLICFLUIDREPLACED,0,0,,,COMPACTOR - MAINT,4.032801,261,05,,
Queens,Queens-Staten Island,CORIOLAN,Astoria,26,ASTORIA,26,2-10 27TH AVENUE,08,026.08,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73664568,73664568,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,NOPOWER,3,2020-05-11,2020-05-11,,,2020-05-14,2020-05-14,CLOSE,2020-05-15,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,8.0,COMPACTORREPAIRED;EMERGENCYSTOPSWITCHREPLACED;HOSEREPAIRED;KEYSWITCHREPLACED;POWERRESTORED;SHORTREPAIRED;WIREINSTALLED;WIREREPLACED,0,0,,,exterior panel has no power,3.1663080000000003,026,08,,
Manhattan,Manhattan,ALLEN,Baruch,60,BARUCH,60,555 FDR DRIVE,03,060.03,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73659172,73659172,MAINTENANCE,Maintenance,COMPACTOR,RAMNOTMOVING,3,2020-05-11,2020-05-11,,,2020-05-14,2020-05-14,CLOSE,2020-05-15,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,3.0447450000000003,060,03,,
Brooklyn,Brooklyn,HALL,Gowanus,25,GOWANUS,25,198 BOND STREET,07,025.07,BUILDING,DEV025,MAXIMO,Non-CCC,68015828,68029935,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-01,2019-08-01,,,2019-08-02,2019-08-02,CLOSE,2019-09-30,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.954282,025,07,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,220 EAST 102ND STREET,09,062.09,BUILDING,DEV062,MAXIMO,Non-CCC,72341492,72441775,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-08,2020-02-08,,,2020-02-12,2020-02-12,CLOSE,2020-02-12,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,3.8777660000000003,062,09,,
Manhattan,NGO1,TURNER,Lincoln,20,LINCOLN,20,2133 MADISON AVENUE,06,020.06,BUILDING,DEV020,MOBILE,Non-CCC,73427671,73427671,MAINTENANCE,Maintenance,COMPACTOR,RAMNOTPUSHING,3,2020-04-16,2020-04-16,,,2020-04-16,2020-04-16,CLOSE,2020-04-16,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,compactor switch broken,0.074907,020,06,,
Brooklyn,Mixed Finance,HIPPS,Bay View,92,BAY VIEW,92,2115 ROCKAWAY PARKWAY,15,092.15,BUILDING,DEV092,MAXIMO,Non-CCC,71376755,71734490,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-12-26,2019-12-26,,,2020-01-07,2020-01-07,CLOSE,2020-01-13,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,11.977072,092,15,,
Bronx,NGO1,MCMILLAN,Mott Haven,121,MOTT HAVEN,121,355 EAST 143RD STREET,07,121.07,BUILDING,ESD,MAXIMO,Non-CCC,72959085,72959085,MAINTENANCE,Maintenance,COMPACTOR,NOISY,3,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,CLOSE,2020-03-14,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,HOPPERDOORREPAIRED,0,0,,,compactors are working open chute doors in the building,0.050127,121,07,,
Manhattan,Manhattan,SUGGS,Dyckman,41,DYCKMAN,41,3784 10TH AVENUE,07,041.07,BUILDING,TSDWASTE,MAXIMO,Non-CCC,70229385,70229385,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,NOAUTO,3,2019-11-19,2019-11-19,,,2019-11-27,2019-11-27,CLOSE,2019-11-30,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,EZ pack 1,7.9134839999999995,041,07,,
Brooklyn,Mixed Finance,HIPPS,Marlboro,83,MARLBORO,83,2326 WEST 8TH STREET,23,083.23,BUILDING,DEV083,MAXIMO,Non-CCC,68015695,68495779,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-27,2019-08-27,,,2019-08-27,2019-08-27,CLOSE,2019-08-27,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,HYDROLICCYLINDERREPLACED,0,0,,,Are interior compactors in good working order?,0.06526599999999999,083,23,,
Manhattan,Mixed Finance,DINGLE,Amsterdam,22,AMSTERDAM,22,229 WEST 62ND STREET,08,022.08,BUILDING,DEV022,MAXIMO,Non-CCC,73335193,73335193,SKILLED TRADES,Vendor,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2020-04-03,2020-04-03,,,2020-04-03,2020-04-03,CLOSE,2020-04-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,BULKCONTAINERCLEANED,0,0,N,,exterior Compactor #3 Ram runs then struggles to push the trash into the container then stops moving,0.127708,022,08,,
Brooklyn,Brooklyn,HALL,Kingsborough,10,KINGSBOROUGH,10,719 KINGSBOROUGH 7TH WALK,16,010.16,BUILDING,DEV010,MAXIMO,Non-CCC,68015224,68031775,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2019-08-01,2019-08-01,,,,,CLOSE,2019-10-20,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,Are compactor rooms clean and in good condition?,79.891944,010,16,,
Bronx,Mixed Finance,DINGLE,Saint Mary's Park,93,SAINT MARY'S PARK,93,595 TRINITY AVENUE,02,093.02,BUILDING,DEV093,MAXIMO,Non-CCC,72332121,72699874,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-27,2020-02-27,,,2020-03-18,2020-03-18,CLOSE,2020-03-18,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are interior compactors in good working order? Compactor o/o/o,19.707384,093,02,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,95 OLD BROADWAY,06,081.06,BUILDING,DEV081,MAXIMO,Non-CCC,69323263,69391688,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-10-05,2019-10-05,2019-10-07,2019-10-07,2019-10-07,2019-10-07,CLOSE,2019-10-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are compactor rooms clean and in good condition?,2.144201,081,06,,
Bronx,Bronx,TOLOZANO,Sotomayor,67,SOTOMAYOR,67,1085 BEACH AVENUE,18,067.18,BUILDING,TSDWASTE,MAXIMO,Non-CCC,69523187,69523187,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2019-10-16,2019-10-16,,,2019-10-23,2019-10-23,CLOSE,2019-10-24,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,E ZAY PACK # 1  NEEDS FITTINGS CHANGED,7.061458,067,18,,
Brooklyn,NGO1,KORBUL,Unity Plaza,261,UNITY PLAZA (SITES 4-27),261,360 WILLIAMS AVENUE,01,261.01,BUILDING,DEV261,MAXIMO,Non-CCC,73520848,73520848,SKILLED TRADES,Vendor,COMPACTOR,NEEDSPAINTING,3,2020-04-27,2020-04-27,,,2020-04-29,2020-04-30,CLOSE,2020-04-30,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CONCRETEPATCHED,0,0,N,,COMPACTOR ROOM NEEDS PAINTING,2.838241,261,01,,
Queens,Queens-Staten Island,CORIOLAN,Astoria,26,ASTORIA,26,2-10 27TH AVENUE,08,026.08,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65152244,65152244,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-01-15,2019-01-15,,,2019-01-22,2019-01-22,CLOSE,2019-01-24,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,exterior #3,7.137824,026,08,,
Bronx,Bronx,TOLOZANO,Webster,141,WEBSTER,141,421 EAST 168TH STREET,04,141.04,BUILDING,DEV141,MAXIMO,Non-CCC,73303648,73448906,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-04-20,2020-04-20,,,2020-04-20,2020-04-20,CLOSE,2020-04-22,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,TRANSITIONCHUTECLEANED,0,0,,,Are interior compactors in good working order? COMPACTOR OOO,0.119398,141,04,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,219 EAST 97TH STREET,02,062.02,BUILDING,DEV062,MAXIMO,Non-CCC,71907977,72225863,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2020-01-26,2020-01-26,,,2020-01-27,2020-01-27,CLOSE,2020-01-27,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are compactor rooms clean and in good condition?,0.9961459999999999,062,02,,
Brooklyn,Mixed Finance,HIPPS,Linden,95,LINDEN,95,190 WORTMAN AVENUE,10,095.10,BUILDING,DEV095,MAXIMO,Non-CCC,68014822,68267701,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-16,2019-08-16,,,2019-09-10,2019-09-10,CLOSE,2019-09-10,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,Are interior compactors in good working order? COMPACTOR O//O/O,24.884536999999998,095,10,,
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-01 12TH STREET,05,005.05,BUILDING,TSDWASTE,MAXIMO,Non-CCC,71401301,71401301,MAINTENANCE,Maintenance,COMPACTOR,RAMNOTMOVING,3,2019-12-02,2019-12-02,,,2019-12-14,2019-12-14,CLOSE,2019-12-14,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,ram not moving. chain broken,11.808808,005,05,,
Bronx,Bronx,BETHEA,1010 EAST 178TH STREET,180,1010 EAST 178TH STREET,180,1010 EAST 178TH STREET,,180,DEVELOPMENT,DEV180,MAXIMO,Non-CCC,69889541,69889541,SKILLED TRADES,Caretaker,COMPACTOR,NEEDSCLEANING,3,2019-10-31,2019-10-31,,,2019-10-31,2019-10-31,CLOSE,2019-11-04,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,SAFETY/FLY KILLER LUNCH ROCOMPACTOR - CARETAKE,0.125671,180,,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,545 WEST 126TH STREET,,081,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,67604154,67604154,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,NOAUTO,3,2019-07-01,2019-07-01,,,2019-07-10,2019-07-10,CLOSE,2019-07-10,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,exterior #1,8.947813,081,,,
Queens,Queens-Staten Island,DREW,Redfern,55,REDFERN,55,14-60 BEACH CHANNEL DRIVE,,055,DEVELOPMENT,DEV055,MAXIMO,Non-CCC,68238745,68238745,SKILLED TRADES,Vendor,COMPACTOR,NEEDSPAINTING,3,2019-08-15,2019-08-15,,,2019-08-16,2019-08-16,CLOSE,2019-09-02,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,N,,ALL COMPACTOR ROOMS SPRINKLER PIPES NEEDS PAINTING,0.9642129999999999,055,,,
